Country;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Austria;0,21;0,2;0,19;0,19;0,19;0,2;0,18;0,17;0,17;0,18;0,15;0,16;0,14;0,14;0,15;0,15;0,16;0,15;0,16;0,18;0,18;0,16;0,16;0,15;0,16;0,17;0,18;0,14;0,13;0,13;0,15;0,15;0,15;0,14;0,14;0,15;0,16;0,16;0,17;0,17;0,17;0,17;0,16;0,16;0,12;0,14;0,15;0,13;0,14;0,13;0,14;0,13;0,13;0,12;0,12;0,1;0,11
Belgium;0,8;0,73;0,72;0,74;0,72;0,68;0,56;0,54;0,45;0,48;0,36;0,38;0,38;0,39;0,44;0,44;0,45;0,46;0,39;0,45;0,45;0,38;0,38;0,39;0,41;0,45;0,43;0,38;0,36;0,39;0,37;0,35;0,33;0,33;0,29;0,32;0,3;0,26;0,25;0,23;0,22;0,21;0,19;0,19;0,12;0,16;0,15;0,14;0,15;0,14;0,14;0,13;0,13;0,13;0,13;0,1;0,1
Bulgaria;0,25;0,26;0,28;0,31;0,31;0,34;0,33;0,34;0,34;0,34;0,35;0,33;0,33;0,35;0,36;0,38;0,39;0,41;0,4;0,4;0,42;0,43;0,43;0,4;0,41;0,35;0,31;0,33;0,35;0,32;0,32;0,32;0,36;0,35;0,29;0,26;0,3;0,28;0,31;0,3;0,29;0,29;0,33;0,32;0,27;0,29;0,34;0,29;0,25;0,27;0,27;0,24;0,26;0,23;0,21;0,17;0,22
Croatia;;;;;;;;;;;;;;;;;;;;;;;;;;0,03;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,02
Czech Republic;1,48;1,47;1,43;1,48;1,53;1,55;1,62;1,6;1,56;1,56;1,59;1,62;1,65;1,66;1,66;1,61;1,6;1,62;1,61;1,64;1,6;1,59;1,58;1,59;1,53;1,25;1,14;1,07;1,04;0,98;0,98;0,98;0,92;0,85;0,78;0,89;0,87;0,86;0,87;0,87;0,84;0,87;0,87;0,82;0,76;0,79;0,77;0,74;0,71;0,69;0,68;0,69;0,66;0,65;0,6;0,52;0,54
Denmark;0,15;0,18;0,15;0,13;0,12;0,1;0,06;0,06;0,09;0,09;0,09;0,12;0,14;0,15;0,18;0,26;0,21;0,25;0,24;0,25;0,3;0,31;0,3;0,28;0,23;0,26;0,35;0,29;0,3;0,32;0,27;0,37;0,28;0,24;0,2;0,17;0,18;0,18;0,24;0,18;0,16;0,24;0,19;0,17;0,17;0,16;0,14;0,1;0,14;0,11;0,07;0,09;0,07;0,07;0,04;0,03;0,05
Estonia;;;;;;;;;;;;;;;;;;;;;0,24;0,25;0,25;0,24;0,25;0,26;0,24;0,19;0,15;0,16;0,15;0,15;0,15;0,13;0,12;0,12;0,12;0,12;0,14;0,14;0,14;0,13;0,16;0,15;0,13;0,17;0,17;0,16;0,17;0,17;0,15;0,16;0,18;0,18;0,13;0,11;0,12
Finland;0,07;0,07;0,07;0,08;0,09;0,1;0,08;0,09;0,1;0,11;0,1;0,13;0,13;0,18;0,17;0,19;0,12;0,13;0,14;0,16;0,21;0,19;0,21;0,21;0,21;0,22;0,22;0,2;0,23;0,28;0,25;0,29;0,28;0,23;0,22;0,21;0,25;0,28;0,34;0,31;0,2;0,31;0,29;0,22;0,22;0,28;0,23;0,19;0,21;0,19;0,16;0,18;0,17;0,18;0,15;0,11;0,12
France;1,73;1,6;1,58;1,52;1,52;1,45;1,33;1,18;1,17;1,18;1,04;1,22;1,18;1,23;1,33;1,3;1,19;1,22;1,1;1,05;1,02;0,84;0,77;0,75;0,82;0,8;0,85;0,75;0,61;0,6;0,61;0,65;0,57;0,68;0,61;0,59;0,52;0,53;0,57;0,54;0,56;0,52;0,54;0,51;0,45;0,48;0,41;0,46;0,48;0,36;0,36;0,35;0,38;0,34;0,27;0,19;0,23
Germany;6,73;6,28;6,05;6,14;6,32;6,24;5,97;5,83;5,85;5,88;5,32;5,62;5,4;5,47;5,78;5,92;6,02;5,87;6,09;6,28;6,25;5,91;5,88;5,81;5,9;5,51;4,84;4,37;4,12;4;3,79;3,78;3,66;3,57;3,44;3,57;3,58;3,59;3,65;3,56;3,4;3,54;3,63;3,35;3;3,23;3,28;3,37;3,47;3,33;3,29;3,2;3,01;2,9;2,25;1,81;2,12
Greece;0,09;0,09;0,08;0,1;0,09;0,11;0,16;0,17;0,2;0,21;0,27;0,32;0,34;0,3;0,17;0,17;0,16;0,17;0,2;0,22;0,25;0,24;0,28;0,31;0,33;0,34;0,32;0,34;0,34;0,34;0,34;0,33;0,35;0,37;0,36;0,38;0,39;0,38;0,38;0,39;0,38;0,35;0,37;0,35;0,35;0,33;0,33;0,34;0,29;0,28;0,24;0,18;0,01;0,2;0,13;0,08;0,07
Hungary;0,46;0,44;0,38;0,38;0,38;0,39;0,37;0,36;0,37;0,35;0,33;0,34;0,34;0,34;0,34;0,34;0,34;0,35;0,33;0,32;0,32;0,31;0,31;0,3;0,27;0,26;0,24;0,22;0,2;0,18;0,18;0,18;0,17;0,17;0,17;0,16;0,15;0,15;0,15;0,14;0,13;0,13;0,13;0,13;0,11;0,11;0,11;0,11;0,1;0,09;0,1;0,09;0,09;0,09;0,08;0,07;0,06
Ireland;0,13;0,15;0,16;0,19;0,18;0,09;0,09;0,08;0,08;0,08;0,07;0,07;0,08;0,07;0,08;0,08;0,08;0,09;0,09;0,09;0,1;0,11;0,15;0,15;0,15;0,14;0,14;0,13;0,13;0,12;0,12;0,12;0,12;0,12;0,1;0,11;0,11;0,11;0,11;0,1;0,11;0,1;0,1;0,1;0,08;0,08;0,08;0,09;0,09;0,08;0,09;0,09;0,08;0,06;0,04;0,03;0,05
Italy;0,36;0,38;0,41;0,4;0,41;0,41;0,4;0,37;0,38;0,41;0,41;0,41;0,4;0,41;0,45;0,53;0,54;0,6;0,56;0,64;0,63;0,62;0,62;0,58;0,6;0,61;0,58;0,51;0,45;0,47;0,51;0,47;0,47;0,49;0,49;0,52;0,56;0,57;0,62;0,69;0,69;0,7;0,68;0,66;0,52;0,57;0,64;0,66;0,57;0,55;0,52;0,46;0,4;0,37;0,28;0,21;0,23
Latvia;;;;;;;;;;;;;;;;;;;;;0,03;0,04;0,04;0,04;0,03;0,03;0,03;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;;;;;;;;;;;;;;;;;;;
Lithuania;;;;;;;;;;;;;;;;;;;;;0,03;0,04;0,04;0,04;0,04;0,03;0,04;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;;;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01
Luxembourg;0,11;0,1;0,1;0,1;0,11;0,11;0,1;0,1;0,1;0,11;0,08;0,08;0,07;0,07;0,08;0,08;0,06;0,06;0,05;0,06;0,06;0,05;0,04;0,04;0,05;0,05;0,04;0,04;0,04;0,04;0,02;0,02;0,01;;;;;;;;;;;;;;;;;;;;;;;;
Netherlands;0,37;0,34;0,33;0,31;0,26;0,19;0,15;0,12;0,13;0,12;0,1;0,13;0,13;0,15;0,14;0,17;0,19;0,21;0,22;0,27;0,27;0,27;0,29;0,35;0,34;0,37;0,34;0,34;0,34;0,36;0,37;0,36;0,35;0,36;0,31;0,33;0,35;0,35;0,36;0,36;0,34;0,32;0,35;0,33;0,31;0,32;0,31;0,34;0,34;0,38;0,46;0,43;0,39;0,35;0,27;0,17;0,23
