Country;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Austria;0,17;0,18;0,19;0,19;0,18;0,23;0,18;0,18;0,2;0,24;0,25;0,22;0,27;0,27;0,3;0,31;0,33;0,33;0,33;0,29;0,33;0,33;0,38;0,38;0,37;0,34;0,33;0,37;0,39;0,38;0,39;0,36;0,38;0,4;0,43;0,45;0,43;0,42;0,35;0,38;0,38;0,37;0,38;0,39;0,41;0,38;0,34;0,43;0,41;0,4;0,36;0,39;0,37;0,36;0,39;0,4;0,4
Bulgaria;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,03;0,02;0,03;0,03;0,04;0,03;0,04;0,04;0,04;0,03;0,04;0,03;0,02;0,02;0,03;0,03;0,03;0,02;0,03;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,03;0,03;0,04;0,04;0,03;0,03;0,03;0,05;0,03;0,03;0,04;0,04;0,05;0,04;0,03;0,05;0,03;0,03;0,04
Croatia;;;;;;;;;;;;;;;;;;;;;;;;;;0,04;0,06;0,05;0,05;0,06;0,06;0,08;0,06;0,06;0,08;0,07;0,08;0,06;0,06;0,08;0,07;0,07;0,05;0,06;0,07;0,09;0,05;0,05;0,08;0,09;0,06;0,07;0,05;0,07;0,06;0,05;0,07
Czech Republic;0,02;0,02;0,02;0,02;0,01;0,02;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,02;0,02;0,02;0,01;0,02;0,02;0,03;0,02;0,02;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,03;0,01;0,02;0,02;0,03;0,02;0,02;0,02;0,03;0,02;0,02;0,03;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02
Finland;0,1;0,11;0,12;0,11;0,09;0,1;0,11;0,11;0,11;0,14;0,13;0,1;0,13;0,1;0,12;0,11;0,15;0,14;0,14;0,14;0,13;0,13;0,15;0,14;0,14;0,12;0,14;0,16;0,14;0,13;0,14;0,13;0,13;0,16;0,13;0,16;0,14;0,11;0,1;0,16;0,14;0,12;0,14;0,17;0,13;0,13;0,12;0,17;0,13;0,13;0,16;0,15;0,14;0,13;0,12;0,15;0,15
France;0,5;0,56;0,48;0,54;0,56;0,6;0,52;0,52;0,51;0,6;0,64;0,52;0,81;0,73;0,71;0,74;0,77;0,75;0,74;0,7;0,66;0,67;0,76;0,82;0,5;0,57;0,61;0,73;0,69;0,84;0,78;0,7;0,68;0,66;0,77;0,71;0,79;0,63;0,62;0,62;0,53;0,58;0,59;0,64;0,57;0,63;0,44;0,58;0,7;0,61;0,53;0,58;0,47;0,61;0,53;0,58;0,55
Germany;0,17;0,19;0,18;0,18;0,15;0,19;0,14;0,14;0,16;0,19;0,18;0,15;0,19;0,2;0,2;0,2;0,21;0,21;0,2;0,2;0,19;0,2;0,22;0,21;0,19;0,18;0,17;0,2;0,2;0,21;0,23;0,2;0,2;0,2;0,22;0,27;0,25;0,25;0,19;0,22;0,2;0,21;0,22;0,21;0,19;0,21;0,18;0,21;0,23;0,19;0,18;0,2;0,19;0,17;0,19;0,17;0,18
Greece;0,01;0,02;0,02;0,01;0,02;0,03;0,03;0,03;0,02;0,02;0,02;0,02;0,02;0,03;0,04;0,04;0,04;0,04;0,02;0,03;0,03;0,03;0,03;0,03;0,02;0,02;0,03;0,02;0,02;0,03;0,04;0,05;0,04;0,04;0,05;0,04;0,02;0,03;0,05;0,05;0,05;0,06;0,03;0,03;0,05;0,07;0,04;0,04;0,06;0,04;0,06;0,05;0,04;0,05;0,04;0,03;0,05
Iceland;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,03;0,03;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,05;0,05;0,05;0,05;0,05;0,06;0,06;0,06;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,09;0,13;0,12;0,13;0,12;0,12;0,13;0,13;0,13;0,13;0,13;0,13;0,13;0,12;0,13
Ireland;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01
