Country;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Austria;0,24;0,26;0,28;0,32;0,35;0,39;0,43;0,46;0,50;0,45;0,46;0,49;0,47;0,51;0,53;0,52;0,47;0,45;0,43;0,42;0,42;0,44;0,46;0,45;0,45;0,46;0,50;0,49;0,49;0,49;0,49;0,50;0,51;0,53;0,52;0,51;0,55;0,56;0,61;0,60;0,59;0,59;0,56;0,55;0,52;0,55;0,51;0,51;0,53;0,50;0,50;0,52;0,53;0,53;0,55;0,48;0,49
Belgium;0,68;0,69;0,76;0,89;1,02;1,12;1,14;1,24;1,30;1,14;1,09;1,13;1,11;1,19;1,18;1,09;1,00;0,95;0,86;0,83;0,84;0,95;0,96;0,99;0,97;1,00;1,08;1,10;1,08;1,18;1,17;1,27;1,30;1,32;1,27;1,29;1,31;1,32;1,39;1,41;1,40;1,40;1,41;1,48;1,33;1,38;1,29;1,24;1,28;1,26;1,30;1,32;1,34;1,42;1,33;1,15;1,30
Bulgaria;0,16;0,18;0,23;0,27;0,33;0,38;0,42;0,44;0,46;0,48;0,51;0,53;0,55;0,56;0,58;0,59;0,53;0,51;0,50;0,48;0,44;0,46;0,45;0,47;0,46;0,43;0,28;0,25;0,27;0,26;0,27;0,24;0,19;0,20;0,19;0,18;0,19;0,19;0,21;0,20;0,22;0,22;0,22;0,21;0,19;0,17;0,16;0,17;0,16;0,17;0,19;0,19;0,20;0,20;0,21;0,19;0,20
Croatia;;;;;;;;;;;;;;;;;;;;;;;;;;0,20;0,14;0,14;0,15;0,15;0,17;0,16;0,17;0,19;0,19;0,17;0,17;0,18;0,20;0,19;0,19;0,20;0,20;0,19;0,19;0,16;0,15;0,13;0,13;0,14;0,14;0,14;0,15;0,15;0,14;0,12;0,13
Cyprus;0,02;0,02;0,02;0,02;0,03;0,03;0,03;0,04;0,04;0,04;0,03;0,03;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,05;0,04;0,05;0,06;0,06;0,06;0,07;0,07;0,08;0,08;0,08;0,09;0,09;0,09;0,10;0,10;0,11;0,11;0,11;0,11;0,11;0,12;0,12;0,12;0,13;0,12;0,12;0,12;0,11;0,10;0,10;0,10;0,11;0,11;0,11;0,11;0,09;0,10
Czech Republic;0,17;0,19;0,21;0,23;0,25;0,30;0,33;0,36;0,40;0,41;0,45;0,48;0,50;0,52;0,53;0,49;0,48;0,44;0,43;0,46;0,45;0,44;0,44;0,42;0,40;0,36;0,30;0,29;0,29;0,30;0,34;0,36;0,34;0,35;0,35;0,34;0,36;0,35;0,37;0,41;0,43;0,42;0,42;0,42;0,41;0,38;0,39;0,38;0,37;0,39;0,38;0,35;0,42;0,42;0,42;0,37;0,41
Denmark;0,44;0,50;0,53;0,58;0,70;0,78;0,77;0,81;0,75;0,68;0,67;0,71;0,71;0,71;0,68;0,58;0,55;0,47;0,45;0,44;0,45;0,45;0,41;0,41;0,40;0,39;0,39;0,39;0,41;0,43;0,45;0,49;0,47;0,46;0,45;0,44;0,42;0,41;0,40;0,39;0,39;0,40;0,40;0,39;0,35;0,36;0,35;0,32;0,32;0,32;0,33;0,32;0,32;0,32;0,32;0,27;0,27
Estonia;;;;;;;;;;;;;;;;;;;;;0,15;0,14;0,15;0,15;0,15;0,15;0,13;0,07;0,07;0,07;0,05;0,06;0,06;0,06;0,05;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0,07;0,06;0,06;0,06;0,06;0,07;0,07;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06
Finland;0,24;0,29;0,31;0,35;0,41;0,46;0,47;0,50;0,56;0,49;0,51;0,54;0,53;0,54;0,57;0,55;0,52;0,48;0,45;0,46;0,46;0,48;0,48;0,47;0,47;0,48;0,48;0,47;0,45;0,47;0,42;0,44;0,43;0,45;0,46;0,46;0,45;0,46;0,47;0,44;0,46;0,44;0,45;0,43;0,41;0,42;0,41;0,40;0,41;0,39;0,39;0,41;0,40;0,40;0,39;0,35;0,35
France;2,29;2,46;2,83;3,06;3,54;4,02;4,38;4,86;5,42;5,15;4,71;5,09;4,89;5,10;5,07;4,71;4,25;3,94;3,85;3,71;3,65;3,72;3,74;3,72;3,82;3,88;4,11;4,10;3,95;3,82;3,85;3,94;3,96;4,11;4,17;4,10;4,12;4,01;4,01;4,05;3,99;3,98;3,88;3,81;3,66;3,53;3,45;3,34;3,29;3,19;3,19;3,17;3,18;3,17;3,14;2,68;2,91
